

 ----- Approach monitoring ----- 
146/571:   6,  76,  0035094486_1.fit,   4X4,   2007 MAR 01 22:36:06.89,   2.967,          3s,   JUPITER  
147/571:   6,  77,  0035094489_1.fit,   4X4,   2007 MAR 01 22:36:09.89,   2.967,          2s,   JUPITER  
148/571:   6,  78,  0035094492_1.fit,   4X4,   2007 MAR 01 22:36:12.89,   2.967,          2s,   JUPITER  
149/571:   6,  79,  0035094784_1.fit,   1X1,   2007 MAR 01 22:41:04.87,   3.000,      4m 51s,   JUPITER  
150/571:   6,  80,  0035094854_1.fit,   1X1,   2007 MAR 01 22:42:14.87,   3.000,      1m 10s,   JUPITER  
151/571:   6,  81,  0035094924_1.fit,   1X1,   2007 MAR 01 22:43:24.87,   3.000,      1m 10s,   JUPITER  
152/571:   6,  82,  0035095094_1.fit,   1X1,   2007 MAR 01 22:46:14.87,   3.000,      2m 50s,   JUPITER  
153/571:   6,  83,  0035095664_1.fit,   1X1,   2007 MAR 01 22:55:44.87,   3.000,      9m 29s,   JUPITER  
154/571:   6,  84,  0035096234_1.fit,   1X1,   2007 MAR 01 23:05:14.86,   3.000,      9m 29s,   JUPITER  
155/571:   6,  85,  0035096804_1.fit,   1X1,   2007 MAR 01 23:14:44.87,   3.000,      9m 30s,   JUPITER  
156/571:   6,  86,  0035097374_1.fit,   1X1,   2007 MAR 01 23:24:14.87,   3.000,      9m 29s,   JUPITER  
157/571:   6,  87,  0035097944_1.fit,   1X1,   2007 MAR 01 23:33:44.87,   3.000,      9m 29s,   JUPITER  
158/571:   6,  88,  0035098514_2.fit,   1X1,   2007 MAR 01 23:43:14.87,   3.000,      9m 29s,   JUPITER  
159/571:   6,  89,  0035098920_1.fit,   1X1,   2007 MAR 01 23:50:01.87,   1.000,      6m 47s,   JUPITER  
160/571:   6,  90,  0035098949_1.fit,   1X1,   2007 MAR 01 23:50:31.32,   0.100,         29s,   JUPITER  
161/571:   6,  91,  0035099069_1.fit,   1X1,   2007 MAR 01 23:52:31.32,   0.100,      2m  0s,   JUPITER  
162/571:   6,  92,  0035099189_1.fit,   1X1,   2007 MAR 01 23:54:31.32,   0.100,      2m  0s,   JUPITER  
163/571:   6,  93,  0035099309_1.fit,   1X1,   2007 MAR 01 23:56:31.32,   0.100,      2m  0s,   JUPITER  
164/571:   6,  94,  0035099429_1.fit,   1X1,   2007 MAR 01 23:58:31.32,   0.100,      2m  0s,   JUPITER  
165/571:   6,  95,  0035099593_1.fit,   4X4,   2007 MAR 02 00:01:13.89,   2.967,      2m 42s,   JUPITER  
166/571:   6,  96,  0035099596_1.fit,   4X4,   2007 MAR 02 00:01:16.89,   2.967,          2s,   JUPITER  
167/571:   6,  97,  0035099599_1.fit,   4X4,   2007 MAR 02 00:01:19.89,   2.967,          2s,   JUPITER  
168/571:   6,  98,  0035099602_1.fit,   4X4,   2007 MAR 02 00:01:22.88,   2.967,          2s,   JUPITER  
169/571:   6,  99,  0035100001_1.fit,   4X4,   2007 MAR 02 00:08:01.89,   2.967,      6m 39s,   JUPITER  
170/571:   6, 100,  0035100004_1.fit,   4X4,   2007 MAR 02 00:08:04.89,   2.967,          2s,   JUPITER  
171/571:   6, 101,  0035100007_1.fit,   4X4,   2007 MAR 02 00:08:07.88,   2.967,          2s,   JUPITER  
172/571:   6, 102,  0035100010_1.fit,   4X4,   2007 MAR 02 00:08:10.88,   2.967,          2s,   JUPITER  
173/571:   6, 103,  0035101084_1.fit,   1X1,   2007 MAR 02 00:26:04.87,   3.000,     17m 53s,   JUPITER  
174/571:   6, 104,  0035101654_1.fit,   1X1,   2007 MAR 02 00:35:34.87,   3.000,      9m 29s,   JUPITER  
175/571:   6, 105,  0035102224_1.fit,   1X1,   2007 MAR 02 00:45:04.87,   3.000,      9m 30s,   JUPITER  
176/571:   6, 106,  0035102794_1.fit,   1X1,   2007 MAR 02 00:54:34.87,   3.000,      9m 29s,   JUPITER  
177/571:   6, 107,  0035102940_1.fit,   1X1,   2007 MAR 02 00:57:01.87,   1.000,      2m 27s,   JUPITER  
178/571:   6, 108,  0035102969_1.fit,   1X1,   2007 MAR 02 00:57:31.32,   0.100,         29s,   JUPITER  
179/571:   6, 109,  0035103089_1.fit,   1X1,   2007 MAR 02 00:59:31.32,   0.100,      2m  0s,   JUPITER  
180/571:   6, 110,  0035103209_1.fit,   1X1,   2007 MAR 02 01:01:31.32,   0.100,      2m  0s,   JUPITER  
181/571:   6, 111,  0035103329_1.fit,   1X1,   2007 MAR 02 01:03:31.32,   0.100,      2m  0s,   JUPITER  
182/571:   6, 112,  0035103493_1.fit,   4X4,   2007 MAR 02 01:06:13.88,   2.967,      2m 42s,   JUPITER  
183/571:   6, 113,  0035103496_1.fit,   4X4,   2007 MAR 02 01:06:16.89,   2.967,          3s,   JUPITER  
184/571:   6, 114,  0035103499_1.fit,   4X4,   2007 MAR 02 01:06:19.89,   2.967,          2s,   JUPITER  
185/571:   6, 115,  0035103502_1.fit,   4X4,   2007 MAR 02 01:06:22.88,   2.967,          2s,   JUPITER  
186/571:   6, 116,  0035103963_1.fit,   4X4,   2007 MAR 02 01:14:03.89,   2.967,      7m 41s,   JUPITER  
187/571:   6, 117,  0035103966_1.fit,   4X4,   2007 MAR 02 01:14:06.89,   2.967,          2s,   JUPITER  
188/571:   6, 118,  0035103969_1.fit,   4X4,   2007 MAR 02 01:14:09.89,   2.967,          2s,   JUPITER  
189/571:   6, 119,  0035103972_1.fit,   4X4,   2007 MAR 02 01:14:12.88,   2.967,          2s,   JUPITER  
190/571:   6, 120,  0035104043_1.fit,   4X4,   2007 MAR 02 01:15:23.89,   2.967,      1m 11s,   JUPITER  
191/571:   6, 121,  0035104046_1.fit,   4X4,   2007 MAR 02 01:15:26.88,   2.967,          2s,   JUPITER  
192/571:   6, 122,  0035104049_1.fit,   4X4,   2007 MAR 02 01:15:29.88,   2.967,          2s,   JUPITER  
193/571:   6, 123,  0035104052_1.fit,   4X4,   2007 MAR 02 01:15:32.89,   2.967,          3s,   JUPITER  
194/571:   6, 124,  0035104123_1.fit,   4X4,   2007 MAR 02 01:16:43.88,   2.967,      1m 10s,   JUPITER  
